"","wavelength","sensitivity"
"295","594","1"
"296","595","1"
"297","596","1"
"298","597","1"
"299","598","1"
"300","599","1"
"301","600","1"
"302","601","1"
"303","602","1"
"304","603","1"
"305","604","1"
"306","605","1"
"307","606","1"
"308","607","1"
"309","608","1"
"310","609","1"
"311","610","1"
"312","611","1"
"313","612","1"
"314","613","1"
"315","614","1"
"316","615","1"
"317","616","1"
"318","617","1"
"319","618","1"
"320","619","1"
"321","620","1"
"322","621","1"
"323","622","1"
"324","623","1"
"325","624","1"
"326","625","1"
"327","626","1"
"328","627","1"
"329","628","1"
"330","629","1"
"331","630","1"
"332","631","1"
"333","632","1"
"334","633","1"
"335","634","1"
"336","635","1"
"337","636","1"
"338","637","1"
"339","638","1"
"340","639","1"
"341","640","1"
"342","641","1"
"343","642","1"
"344","643","1"
"345","644","1"
"346","645","1"
"347","646","1"
"348","647","1"
"349","648","1"
"350","649","1"
"351","650","1"
"352","651","1"
"353","652","1"
"354","653","1"
"355","654","1"
"356","655","1"
"357","656","1"
"358","657","1"
"359","658","1"
"360","659","1"
"361","660","1"
"362","661","1"
"363","662","1"
"364","663","1"
"365","664","1"
"366","665","1"
"367","666","1"
"368","667","1"
"369","668","1"
"370","669","1"
"371","670","1"
"372","671","1"
"373","672","1"
"374","673","1"
"375","674","1"
"376","675","1"
"377","676","1"
"378","677","1"
"379","678","1"
"380","679","1"
"381","680","1"
"382","681","1"
"383","682","1"
"384","683","1"
"385","684","1"
"386","685","1"
"387","686","1"
"388","687","1"
"389","688","1"
"390","689","1"
"391","690","1"
"392","691","1"
"393","692","1"
"394","693","1"
"395","694","1"
"396","695","1"
"397","696","1"
"398","697","1"
"399","698","1"
"400","699","1"
"401","700","1"
