"","wavelength","irradiance_20m","irradiance_50m","irradiance_100m","irradiance_200m"
"167","466","0.838","0.303","0.059","0.002"
"168","467","0.844","0.307","0.06","0.002"
"169","468","0.839","0.311","0.06","0.002"
"170","469","0.829","0.315","0.061","0.002"
"171","470","0.819","0.318","0.061","0.002"
"172","471","0.809","0.322","0.062","0.002"
"173","472","0.799","0.326","0.062","0.002"
"174","473","0.789","0.33","0.063","0.003"
"175","474","0.78","0.334","0.064","0.003"
"176","475","0.784","0.335","0.064","0.003"
"177","476","0.792","0.332","0.065","0.003"
"178","477","0.8","0.329","0.065","0.003"
"179","478","0.808","0.325","0.066","0.003"
"180","479","0.816","0.322","0.065","0.003"
"181","480","0.824","0.319","0.064","0.003"
"182","481","0.832","0.316","0.064","0.002"
"183","482","0.841","0.313","0.063","0.002"
"184","483","0.839","0.31","0.062","0.002"
"185","484","0.823","0.308","0.062","0.002"
"186","485","0.807","0.305","0.061","0.002"
"187","486","0.791","0.303","0.061","0.002"
"188","487","0.777","0.301","0.06","0.002"
"189","488","0.774","0.299","0.06","0.002"
"190","489","0.77","0.297","0.059","0.002"
"191","490","0.767","0.297","0.058","0.002"
"192","491","0.764","0.297","0.057","0.002"
"193","492","0.76","0.297","0.055","0.002"
"194","493","0.757","0.297","0.054","0.002"
"195","494","0.754","0.297","0.052","0.002"
"196","495","0.75","0.297","0.05","0.002"
"197","496","0.747","0.297","0.049","0.002"
"198","497","0.739","0.284","0.047","0.001"
"199","498","0.729","0.273","0.045","0.001"
"200","499","0.718","0.261","0.044","0.001"
"201","500","0.708","0.25","0.041","0.001"
"202","501","0.698","0.24","0.038","0.001"
"203","502","0.688","0.23","0.035","0.001"
"204","503","0.679","0.22","0.032","0.001"
"205","504","0.669","0.208","0.03","0.001"
"206","505","0.659","0.197","0.027","0"
"207","506","0.645","0.187","0.025","0"
"208","507","0.631","0.177","0.023","0"
"209","508","0.616","0.167","0.02","0"
"210","509","0.602","0.158","0.018","0"
"211","510","0.588","0.15","0.016","0"
"212","511","0.575","0.14","0.014","0"
"213","512","0.562","0.129","0.012","0"
"214","513","0.54","0.119","0.011","0"
"215","514","0.514","0.109","0.009","0"
"216","515","0.488","0.101","0.008","0"
"217","516","0.464","0.093","0.007","0"
"218","517","0.441","0.088","0.006","0"
"219","518","0.434","0.087","0.005","0"
"220","519","0.436","0.087","0.005","0"
"221","520","0.439","0.086","0.005","0"
"222","521","0.441","0.086","0.006","0"
"223","522","0.443","0.085","0.006","0"
"224","523","0.445","0.084","0.005","0"
"225","524","0.447","0.084","0.005","0"
"226","525","0.45","0.083","0.005","0"
"227","526","0.451","0.083","0.005","0"
"228","527","0.451","0.082","0.005","0"
"229","528","0.451","0.082","0.005","0"
"230","529","0.451","0.081","0.005","0"
"231","530","0.451","0.08","0.005","0"
"232","531","0.451","0.079","0.005","0"
"233","532","0.451","0.077","0.005","0"
"234","533","0.451","0.076","0.004","0"
"235","534","0.445","0.075","0.004","0"
"236","535","0.438","0.074","0.004","0"
"237","536","0.432","0.073","0.004","0"
"238","537","0.425","0.072","0.004","0"
"239","538","0.419","0.071","0.004","0"
"240","539","0.413","0.07","0.004","0"
"241","540","0.407","0.069","0.003","0"
"242","541","0.401","0.067","0.003","0"
"243","542","0.396","0.065","0.003","0"
"244","543","0.393","0.063","0.003","0"
"245","544","0.389","0.061","0.003","0"
"246","545","0.386","0.059","0.003","0"
"247","546","0.383","0.058","0.002","0"
"248","547","0.379","0.056","0.002","0"
"249","548","0.376","0.053","0.002","0"
"250","549","0.373","0.05","0.002","0"
"251","550","0.369","0.047","0.002","0"
"252","551","0.366","0.044","0.002","0"
"253","552","0.359","0.042","0.001","0"
"254","553","0.352","0.041","0.001","0"
"255","554","0.345","0.039","0.001","0"
"256","555","0.339","0.038","0.001","0"
"257","556","0.332","0.037","0.001","0"
"258","557","0.326","0.036","0.001","0"
"259","558","0.319","0.035","0.001","0"
"260","559","0.313","0.034","0.001","0"
"261","560","0.307","0.033","0.001","0"
"262","561","0.301","0.032","0.001","0"
"263","562","0.296","0.031","0.001","0"
"264","563","0.295","0.031","0.001","0"
"265","564","0.293","0.03","0.001","0"
"266","565","0.291","0.029","0.001","0"
"267","566","0.29","0.028","0.001","0"
"268","567","0.288","0.027","0.001","0"
"269","568","0.286","0.026","0.001","0"
"270","569","0.284","0.024","0.001","0"
"271","570","0.275","0.023","0.001","0"
"272","571","0.267","0.022","0","0"
"273","572","0.258","0.02","0","0"
"274","573","0.25","0.019","0","0"
"275","574","0.242","0.018","0","0"
"276","575","0.235","0.016","0","0"
"277","576","0.227","0.015","0","0"
"278","577","0.22","0.013","0","0"
"279","578","0.213","0.012","0","0"
"280","579","0.199","0.01","0","0"
"281","580","0.185","0.009","0","0"
"282","581","0.172","0.008","0","0"
"283","582","0.16","0.007","0","0"
"284","583","0.149","0.005","0","0"
"285","584","0.138","0.004","0","0"
"286","585","0.129","0.004","0","0"
"287","586","0.116","0.003","0","0"
"288","587","0.105","0.002","0","0"
"289","588","0.095","0.002","0","0"
"290","589","0.085","0.001","0","0"
"291","590","0.077","0.001","0","0"
"292","591","0.069","0.001","0","0"
"293","592","0.061","0.001","0","0"
"294","593","0.053","0.001","0","0"
"295","594","0.046","0","0","0"
"296","595","0.04","0","0","0"
"297","596","0.035","0","0","0"
"298","597","0.03","0","0","0"
"299","598","0.022","0","0","0"
"300","599","0.016","0","0","0"
"301","600","0.014","0","0","0"
"302","601","0.011","0","0","0"
"303","602","0.009","0","0","0"
"304","603","0.008","0","0","0"
"305","604","0.007","0","0","0"
"306","605","0.006","0","0","0"
"307","606","0.005","0","0","0"
"308","607","0.004","0","0","0"
"309","608","0.004","0","0","0"
"310","609","0.004","0","0","0"
"311","610","0.004","0","0","0"
"312","611","0.004","0","0","0"
"313","612","0.004","0","0","0"
"314","613","0.004","0","0","0"
"315","614","0.004","0","0","0"
"316","615","0.003","0","0","0"
"317","616","0.003","0","0","0"
"318","617","0.003","0","0","0"
"319","618","0.003","0","0","0"
"320","619","0.003","0","0","0"
"321","620","0.003","0","0","0"
"322","621","0.003","0","0","0"
"323","622","0.003","0","0","0"
"324","623","0.003","0","0","0"
"325","624","0.002","0","0","0"
"326","625","0.002","0","0","0"
"327","626","0.002","0","0","0"
"328","627","0.002","0","0","0"
"329","628","0.002","0","0","0"
"330","629","0.002","0","0","0"
"331","630","0.002","0","0","0"
"332","631","0.002","0","0","0"
"333","632","0.002","0","0","0"
"334","633","0.002","0","0","0"
"335","634","0.002","0","0","0"
"336","635","0.002","0","0","0"
"337","636","0.002","0","0","0"
"338","637","0.002","0","0","0"
"339","638","0.001","0","0","0"
"340","639","0.001","0","0","0"
"341","640","0.001","0","0","0"
"342","641","0.001","0","0","0"
"343","642","0.001","0","0","0"
"344","643","0.001","0","0","0"
"345","644","0.001","0","0","0"
"346","645","0.001","0","0","0"
"347","646","0.001","0","0","0"
"348","647","0.001","0","0","0"
"349","648","0.001","0","0","0"
"350","649","0.001","0","0","0"
"351","650","0.001","0","0","0"
"352","651","0.001","0","0","0"
"353","652","0.001","0","0","0"
"354","653","0.001","0","0","0"
"355","654","0.001","0","0","0"
"356","655","0","0","0","0"
"357","656","0","0","0","0"
"358","657","0","0","0","0"
"359","658","0","0","0","0"
"360","659","0","0","0","0"
"361","660","0","0","0","0"
"362","661","0","0","0","0"
"363","662","0","0","0","0"
"364","663","0","0","0","0"
"365","664","0","0","0","0"
"366","665","0","0","0","0"
"367","666","0","0","0","0"
"368","667","0","0","0","0"
"369","668","0","0","0","0"
"370","669","0","0","0","0"
"371","670","0","0","0","0"
"372","671","0","0","0","0"
"373","672","0","0","0","0"
"374","673","0","0","0","0"
"375","674","0","0","0","0"
"376","675","0","0","0","0"
"377","676","0","0","0","0"
"378","677","0","0","0","0"
"379","678","0","0","0","0"
"380","679","0","0","0","0"
"381","680","0","0","0","0"
"382","681","0","0","0","0"
"383","682","0","0","0","0"
"384","683","0","0","0","0"
"385","684","0","0","0","0"
"386","685","0","0","0","0"
"387","686","0","0","0","0"
"388","687","0","0","0","0"
"389","688","0","0","0","0"
"390","689","0","0","0","0"
"391","690","0","0","0","0"
"392","691","0","0","0","0"
"393","692","0","0","0","0"
"394","693","0","0","0","0"
"395","694","0","0","0","0"
"396","695","0","0","0","0"
"397","696","0","0","0","0"
"398","697","0","0","0","0"
"399","698","0","0","0","0"
"400","699","0","0","0","0"
"401","700","0","0","0","0"
