"","wavelength","irradiance_20m","irradiance_50m","irradiance_100m","irradiance_200m"
"178","477","0.216","0.012","0.001","0.056"
"179","478","0.218","0.013","0.001","0.058"
"180","479","0.22","0.013","0.001","0.061"
"181","480","0.222","0.013","0.001","0.063"
"182","481","0.222","0.012","0.001","0.066"
"183","482","0.222","0.011","0.001","0.068"
"184","483","0.222","0.01","0.001","0.069"
"185","484","0.222","0.01","0.001","0.071"
"186","485","0.222","0.01","0.001","0.073"
"187","486","0.222","0.011","0.001","0.075"
"188","487","0.223","0.011","0.001","0.076"
"189","488","0.224","0.012","0","0.078"
"190","489","0.225","0.013","0","0.079"
"191","490","0.226","0.013","0","0.081"
"192","491","0.227","0.013","0.001","0.082"
"193","492","0.228","0.013","0.001","0.081"
"194","493","0.23","0.013","0.001","0.08"
"195","494","0.231","0.013","0.001","0.08"
"196","495","0.228","0.013","0.001","0.079"
"197","496","0.224","0.012","0.001","0.077"
"198","497","0.22","0.012","0.001","0.074"
"199","498","0.215","0.011","0.001","0.071"
"200","499","0.211","0.011","0","0.068"
"201","500","0.207","0.01","0","0.065"
"202","501","0.203","0.01","0","0.057"
"203","502","0.199","0.009","0","0.045"
"204","503","0.195","0.009","0","0.034"
"205","504","0.191","0.008","0","0.024"
"206","505","0.187","0.008","0","0.013"
"207","506","0.184","0.007","0","0.003"
"208","507","0.18","0.006","0","0.002"
"209","508","0.173","0.006","0","0.002"
"210","509","0.165","0.005","0","0.001"
"211","510","0.158","0.005","0","0.001"
"212","511","0.152","0.004","0","0"
"213","512","0.145","0.004","0","0"
"214","513","0.139","0.004","0","0"
"215","514","0.133","0.004","0","0"
"216","515","0.129","0.003","0","0"
"217","516","0.13","0.003","0","0"
"218","517","0.131","0.003","0","0"
"219","518","0.132","0.003","0","0"
"220","519","0.133","0.003","0","0"
"221","520","0.134","0.003","0","0"
"222","521","0.134","0.003","0","0"
"223","522","0.135","0.003","0","0"
"224","523","0.136","0.003","0","0"
"225","524","0.137","0.003","0","0"
"226","525","0.138","0.003","0","0"
"227","526","0.139","0.003","0","0"
"228","527","0.139","0.003","0","0"
"229","528","0.137","0.003","0","0"
"230","529","0.136","0.003","0","0"
"231","530","0.134","0.003","0","0"
"232","531","0.133","0.003","0","0"
"233","532","0.132","0.003","0","0"
"234","533","0.13","0.003","0","0"
"235","534","0.129","0.003","0","0"
"236","535","0.127","0.003","0","0"
"237","536","0.126","0.003","0","0"
"238","537","0.125","0.003","0","0"
"239","538","0.123","0.003","0","0"
"240","539","0.122","0.003","0","0"
"241","540","0.121","0.003","0","0"
"242","541","0.12","0.003","0","0"
"243","542","0.118","0.003","0","0"
"244","543","0.116","0.002","0","0"
"245","544","0.114","0.002","0","0"
"246","545","0.112","0.002","0","0"
"247","546","0.109","0.002","0","0"
"248","547","0.107","0.002","0","0"
"249","548","0.105","0.002","0","0"
"250","549","0.103","0.002","0","0"
"251","550","0.101","0.002","0","0"
"252","551","0.1","0.002","0","0"
"253","552","0.098","0.001","0","0"
"254","553","0.097","0.001","0","0"
"255","554","0.096","0.001","0","0"
"256","555","0.095","0.001","0","0"
"257","556","0.094","0.001","0","0"
"258","557","0.093","0.001","0","0"
"259","558","0.092","0.001","0","0"
"260","559","0.091","0.001","0","0"
"261","560","0.09","0.001","0","0"
"262","561","0.09","0.001","0","0"
"263","562","0.089","0.001","0","0"
"264","563","0.087","0.001","0","0"
"265","564","0.084","0.001","0","0"
"266","565","0.082","0.001","0","0"
"267","566","0.08","0.001","0","0"
"268","567","0.077","0.001","0","0"
"269","568","0.075","0.001","0","0"
"270","569","0.073","0.001","0","0"
"271","570","0.071","0.001","0","0"
"272","571","0.069","0.001","0","0"
"273","572","0.067","0.001","0","0"
"274","573","0.065","0.001","0","0"
"275","574","0.063","0.001","0","0"
"276","575","0.058","0","0","0"
"277","576","0.054","0","0","0"
"278","577","0.05","0","0","0"
"279","578","0.047","0","0","0"
"280","579","0.043","0","0","0"
"281","580","0.04","0","0","0"
"282","581","0.037","0","0","0"
"283","582","0.035","0","0","0"
"284","583","0.031","0","0","0"
"285","584","0.028","0","0","0"
"286","585","0.025","0","0","0"
"287","586","0.022","0","0","0"
"288","587","0.019","0","0","0"
